#1: Test Organism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2: Experimental Parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#3: Effect,,,,,,,,#4: Particle Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#5: Quality Criteria,,,,,,,,,,,,,,,,,,
source,doi,article,particle.1,particle.2,particle.3,particle.4,particle.5,particle.6,particle.7,design.1,design.2,design.3,design.4,design.5,design.6,design.7,design.8,design.9,design.10,design.11,design.12,design.13,risk.1,risk.2,risk.3,risk.4,risk.5,risk.6,pass.all.red,authors,year,context,genus,species,life.stage,invitro.invivo,sex,exposure.route,exposure.category,leachate,mix,negative.control,reference.material,exposure.media,solvent,detergent,media.sal,media.ph,media.temp,media.temp.min,media.temp.max,exposure.duration.d,treatment,replicates,dosing.frequency,sample.size,dose.ug.g.food.nominal,dose.uM.nominal,dose.ug.cm2.nominal,dose.particles.day.nominal,dose.particles.kg.bw.nominal,dose.mg.day.nominal,dose.particles.L.nominal,dose.mg.L.air.nominal,dose.mg.mL.nominal,dose.mg.kg.day.bw.nominal,dose.cm2.mL.nominal,chem,chem.dose.ug.L.nominal,dose.ug.g.food.measured,dose.uM.measured,dose.ug.cm2.measured,dose.particles.day.measured,dose.mg.day.measured,dose.particles.L.measured,dose.mg.L.air.measured,dose.mg.mL.measured,dose.mg.kg.day.bw.measured,dose.cm2.mL.measured,chem.dose.ug.L.measured,dose.particles.L.master,dose.particles.L.master.reported.converted,dose.mg.mL.master,dose.mg.mL.master.reported.converted,effect,direction,stat.clarity,lvl1,lvl2,lvl3,bio.org,target.organelle.cell.tissue,polymer,density.g.cm3,density.mg.um3,density.reported.estimated,shape,charge,zetapotential,zeta.potential.media,functional.group,size.length.mm.nominal,size.length.min.mm.nominal,size.length.max.mm.nominal,size.length.mm.measured,size.length.min.mm.measured,size.length.max.mm.measured,size.width.mm.nominal,size.width.min.mm.nominal,size.width.max.mm.nominal,size.width.mm.measured,size.width.min.mm.measured,size.width.max.mm.measured,size.height.mm.nominal,size.height.min.mm.nominal,size.height.max.mm.nominal,size.height.mm.measured,size.height.min.mm.measured,size.height.max.mm.measured,size.length.um.used.for.conversion,csf,csf.calculated.estimated,particle.volume.um,mass.per.particle.mg,size.category,weathered.biofouled,size.valid,size.valid.method,size.validation.media,shape.valid,shape.valid.method,polymer.valid,polymer.valid.method,particle.source,part,sodium.azide,contaminant.screen,sol.rinse,clean.method,background.plastics,con.valid,particle.behavior,uptake.valid,tissue.distribution,fed,curator
search,10.1039/c9tx00147f,1,2,1,1,1,2,0,0,1,2,2,1,1,2,2,2,2,2,1,2,0,2,1,1,2,1,0,Y,Amereh,2019,tox,Rattus,norvegicus,adult,invivo,M,gavage,Ingestion,NA,N,Y,N,distilled.water,NA,NA,NA,6.9,NA,20,22,35,4,1,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,clear,stress,gen.stress,glutamicoxaloacetictransminase.con,subcell,serum,PS,1.07,1.07E-09,estimated,sphere,negative,-9.27,distilled.water,NA,NA,NA,NA,0.00003892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03892,NA,NA,3.08686E-05,3.30294E-14,1,N,Y,dynamic.light.scattering,distilled.water,N,NA,N,NA,commercial,kisher.biotech.PPS-0.025.PPS-0.05,N,N,NA,N,N,N,dynamic.light.scattering.aggregtion.quantified,N,NA,Y,LTH.LH
search,10.1039/c9tx00147f,1,2,1,1,1,2,0,0,1,2,2,1,1,2,2,2,2,2,1,2,0,2,1,1,2,1,0,Y,Amereh,2019,tox,Rattus,norvegicus,adult,invivo,M,gavage,Ingestion,NA,N,Y,N,distilled.water,NA,NA,NA,6.9,NA,20,22,35,4,1,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,clear,stress,gen.stress,glutamicoxaloacetictransminase.con,subcell,serum,PS,1.07,1.07E-09,estimated,sphere,negative,-9.27,distilled.water,NA,NA,NA,NA,0.00003892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03892,NA,NA,3.08686E-05,3.30294E-14,1,N,Y,dynamic.light.scattering,distilled.water,N,NA,N,NA,commercial,kisher.biotech.PPS-0.025.PPS-0.05,N,N,NA,N,N,N,dynamic.light.scattering.aggregtion.quantified,N,NA,Y,LTH.LH
search,10.1039/c9tx00147f,1,2,1,1,1,2,0,0,1,2,2,1,1,2,2,2,2,2,1,2,0,2,1,1,2,1,0,Y,Amereh,2019,tox,Rattus,norvegicus,adult,invivo,M,gavage,Ingestion,NA,N,Y,N,distilled.water,NA,NA,NA,6.9,NA,20,22,35,4,1,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,increase,clear,stress,gen.stress,glutamicoxaloacetictransminase.con,subcell,serum,PS,1.07,1.07E-09,estimated,sphere,negative,-9.27,distilled.water,NA,NA,NA,NA,0.00003892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03892,NA,NA,3.08686E-05,3.30294E-14,1,N,Y,dynamic.light.scattering,distilled.water,N,NA,N,NA,commercial,kisher.biotech.PPS-0.025.PPS-0.05,N,N,NA,N,N,N,dynamic.light.scattering.aggregtion.quantified,N,NA,Y,LTH.LH
search,10.1039/c9tx00147f,1,2,1,1,1,2,0,0,1,2,2,1,1,2,2,2,2,2,1,2,0,2,1,1,2,1,0,Y,Amereh,2019,tox,Rattus,norvegicus,adult,invivo,M,gavage,Ingestion,NA,N,Y,N,distilled.water,NA,NA,NA,6.9,NA,20,22,35,4,1,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,increase,clear,stress,gen.stress,glutamicoxaloacetictransminase.con,subcell,serum,PS,1.07,1.07E-09,estimated,sphere,negative,-9.27,distilled.water,NA,NA,NA,NA,0.00003892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03892,NA,NA,3.08686E-05,3.30294E-14,1,N,Y,dynamic.light.scattering,distilled.water,N,NA,N,NA,commercial,kisher.biotech.PPS-0.025.PPS-0.05,N,N,NA,N,N,N,dynamic.light.scattering.aggregtion.quantified,N,NA,Y,LTH.LH
search,10.1039/c9tx00147f,1,2,1,1,1,2,0,0,1,2,2,1,1,2,2,2,2,2,1,2,0,2,1,1,2,1,0,Y,Amereh,2019,tox,Rattus,norvegicus,adult,invivo,M,gavage,Ingestion,NA,N,Y,N,distilled.water,NA,NA,NA,6.9,NA,20,22,35,4,1,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,clear,stress,gen.stress,glutamicpyruvictransaminase.con,subcell,serum,PS,1.07,1.07E-09,estimated,sphere,negative,-9.27,distilled.water,NA,NA,NA,NA,0.00003892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03892,NA,NA,3.08686E-05,3.30294E-14,1,N,Y,dynamic.light.scattering,distilled.water,N,NA,N,NA,commercial,kisher.biotech.PPS-0.025.PPS-0.05,N,N,NA,N,N,N,dynamic.light.scattering.aggregtion.quantified,N,NA,Y,LTH.LH
search,10.1039/c9tx00147f,1,2,1,1,1,2,0,0,1,2,2,1,1,2,2,2,2,2,1,2,0,2,1,1,2,1,0,Y,Amereh,2019,tox,Rattus,norvegicus,adult,invivo,M,gavage,Ingestion,NA,N,Y,N,distilled.water,NA,NA,NA,6.9,NA,20,22,35,4,1,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,clear,stress,gen.stress,glutamicpyruvictransaminase.con,subcell,serum,PS,1.07,1.07E-09,estimated,sphere,negative,-9.27,distilled.water,NA,NA,NA,NA,0.00003892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03892,NA,NA,3.08686E-05,3.30294E-14,1,N,Y,dynamic.light.scattering,distilled.water,N,NA,N,NA,commercial,kisher.biotech.PPS-0.025.PPS-0.05,N,N,NA,N,N,N,dynamic.light.scattering.aggregtion.quantified,N,NA,Y,LTH.LH
search,10.1039/c9tx00147f,1,2,1,1,1,2,0,0,1,2,2,1,1,2,2,2,2,2,1,2,0,2,1,1,2,1,0,Y,Amereh,2019,tox,Rattus,norvegicus,adult,invivo,M,gavage,Ingestion,NA,N,Y,N,distilled.water,NA,NA,NA,6.9,NA,20,22,35,4,1,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,increase,clear,stress,gen.stress,glutamicpyruvictransaminase.con,subcell,serum,PS,1.07,1.07E-09,estimated,sphere,negative,-9.27,distilled.water,NA,NA,NA,NA,0.00003892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03892,NA,NA,3.08686E-05,3.30294E-14,1,N,Y,dynamic.light.scattering,distilled.water,N,NA,N,NA,commercial,kisher.biotech.PPS-0.025.PPS-0.05,N,N,NA,N,N,N,dynamic.light.scattering.aggregtion.quantified,N,NA,Y,LTH.LH
search,10.1039/c9tx00147f,1,2,1,1,1,2,0,0,1,2,2,1,1,2,2,2,2,2,1,2,0,2,1,1,2,1,0,Y,Amereh,2019,tox,Rattus,norvegicus,adult,invivo,M,gavage,Ingestion,NA,N,Y,N,distilled.water,NA,NA,NA,6.9,NA,20,22,35,4,1,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,increase,clear,stress,gen.stress,glutamicpyruvictransaminase.con,subcell,serum,PS,1.07,1.07E-09,estimated,sphere,negative,-9.27,distilled.water,NA,NA,NA,NA,0.00003892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03892,NA,NA,3.08686E-05,3.30294E-14,1,N,Y,dynamic.light.scattering,distilled.water,N,NA,N,NA,commercial,kisher.biotech.PPS-0.025.PPS-0.05,N,N,NA,N,N,N,dynamic.light.scattering.aggregtion.quantified,N,NA,Y,LTH.LH
search,10.1039/c9tx00147f,1,2,1,1,1,2,0,0,1,2,2,1,1,2,2,2,2,2,1,2,0,2,1,1,2,1,0,Y,Amereh,2019,tox,Rattus,norvegicus,adult,invivo,M,gavage,Ingestion,NA,N,Y,N,distilled.water,NA,NA,NA,6.9,NA,20,22,35,4,1,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,clear,endocrine.signaling,thyroid,t3.con,subcell,serum,PS,1.07,1.07E-09,estimated,sphere,negative,-9.27,distilled.water,NA,NA,NA,NA,0.00003892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03892,NA,NA,3.08686E-05,3.30294E-14,1,N,Y,dynamic.light.scattering,distilled.water,N,NA,N,NA,commercial,kisher.biotech.PPS-0.025.PPS-0.05,N,N,NA,N,N,N,dynamic.light.scattering.aggregtion.quantified,N,NA,Y,LTH.LH
search,10.1039/c9tx00147f,1,2,1,1,1,2,0,0,1,2,2,1,1,2,2,2,2,2,1,2,0,2,1,1,2,1,0,Y,Amereh,2019,tox,Rattus,norvegicus,adult,invivo,M,gavage,Ingestion,NA,N,Y,N,distilled.water,NA,NA,NA,6.9,NA,20,22,35,4,1,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,clear,endocrine.signaling,thyroid,t3.con,subcell,serum,PS,1.07,1.07E-09,estimated,sphere,negative,-9.27,distilled.water,NA,NA,NA,NA,0.00003892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03892,NA,NA,3.08686E-05,3.30294E-14,1,N,Y,dynamic.light.scattering,distilled.water,N,NA,N,NA,commercial,kisher.biotech.PPS-0.025.PPS-0.05,N,N,NA,N,N,N,dynamic.light.scattering.aggregtion.quantified,N,NA,Y,LTH.LH
